playerid,playername,position,team,short_team,teamstrength,cost,total_points,goals_scored,assists,ep_next,ep_this,form,event_points,seasonminutes,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,positionid,firstname,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team_id,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,xG,xG90,defcon_pts
111,Pinnock,DEF,Brentford,BRE,3,4.2,14,0,0,-0.5,-0.5,0.0,0,318,TRUE,FALSE,100,100,231065,0,0,-3,3,0,1,2,Ethan,FALSE,,2025-08-18T08:00:05.393517Z,42,231065.jpg,3.5,FALSE,Pinnock,0.1,FALSE,NA,a,5,94,16875,0,30319,0,0.0,3.3,,107,2019-07-02,1993-05-29,FALSE,p231065,1,5,1,0,0,1,0,0,2,53,88.6,1.2,33.0,12.3,37,11,5,42,4,0.01,0.06,0.07,3.70,NA,,NA,,NA,,,,400,151,488,175,374,127,424,153,0,0,0.02,0.02,1.05,1.42,643,144,531,222,111,40,452,168,1.13,0.28,11.89,0.01,0,2
112,Roerslev,DEF,Brentford,BRE,3,4.5,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,226956,0,0,0,0,0,0,2,Mads,FALSE,Has joined Southampton permanently.,2025-08-22T14:17:15.662878Z,45,226956.jpg,0.0,FALSE,Roerslev Rasmussen,0.0,FALSE,NA,u,5,94,211,0,3940,0,0.0,0.0,,58,2019-10-27,1999-06-24,FALSE,p226956,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,706,262,701,262,683,262,708,262,0,0,0,0,0,0,425,84,619,246,712,262,727,252,0,0,0,0.00,0,0
113,Van den Berg,DEF,Brentford,BRE,3,4.4,113,0,3,2.0,2.2,2.7,4,2761,TRUE,FALSE,100,100,444765,0,0,-1,1,0,0,2,Sepp,FALSE,,2025-12-27T22:00:11.195580Z,44,444765.jpg,3.5,FALSE,van den Berg,1.0,FALSE,NA,a,5,94,360666,0,292925,0,0.6,25.7,,152,2024-08-22,2001-12-20,FALSE,p444765,8,41,0,0,0,2,0,0,3,435,659.0,98.0,305.0,106.3,249,109,23,272,30,3.36,1.45,4.81,41.59,NA,,NA,,NA,,,,63,28,300,95,112,16,132,40,0.11,0,0.05,0.16,1.36,1.34,551,116,132,47,112,41,196,77,0.98,0.26,8.87,3.36,0.11,2
114,Arthur,DEF,Brentford,BRE,3,3.8,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,622536,0,0,-2,2,0,0,2,Benjamin,FALSE,has joined Celtic on loan for the rest of the season.,2026-02-06T22:48:24.603753Z,38,622536.jpg,0.0,FALSE,Arthur,0.2,FALSE,NA,u,5,94,12981,0,31968,0,0.0,0.0,,241,2024-03-08,2005-10-09,FALSE,p622536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,548,201,530,200,499,196,551,201,0,0,0,0,0,0,831,260,407,155,559,201,403,150,0,0,0,0.00,0,0
115,Fredrick,DEF,Brentford,BRE,3,4,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,612534,0,0,0,0,0,0,2,Benjamin,FALSE,has joined Dender on loan for the rest of the season.,2025-09-22T21:16:59.169077Z,40,612534.jpg,0.0,FALSE,Fredrick,0.1,FALSE,NA,u,5,94,2020,0,14548,0,0.0,0.0,,NA,NA,NA,FALSE,p612534,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,635,244,627,243,597,240,638,244,0,0,0,0,0,0,745,204,510,207,645,243,540,192,0,0,0,0.00,0,0
116,Hickey,DEF,Brentford,BRE,3,4,37,0,0,0.3,0.5,1.0,1,679,TRUE,FALSE,100,100,472713,0,0,0,0,0,0,2,Aaron,FALSE,,2026-02-21T19:30:08.807049Z,40,472713.jpg,1.8,FALSE,Hickey,0.3,FALSE,NA,a,5,94,68336,0,85750,0,0.2,9.2,,243,2022-07-09,2002-06-10,FALSE,p472713,2,9,0,0,0,1,0,0,0,105,101.4,17.1,43.0,16.0,36,35,15,51,8,0.44,0.17,0.61,9.03,NA,,NA,,NA,,,,393,147,421,154,355,117,412,148,0.06,0,0.02,0.08,1.2,1.19,702,175,254,90,375,138,306,113,1.06,0.27,6.76,0.44,0.06,2
117,Ji-soo,DEF,Brentford,BRE,3,3.9,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,570241,0,0,-1,1,0,0,2,Kim,FALSE,has joined Kaiserslautern on loan for the rest of the season.,2025-09-22T21:16:59.154227Z,39,570241.jpg,0.0,FALSE,Ji-soo,0.1,FALSE,NA,u,5,94,4108,0,15883,0,0.0,0.0,,114,2023-07-20,2004-12-24,FALSE,p570241,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,576,209,562,208,531,204,579,209,0,0,0,0,0,0,796,230,439,165,587,209,533,190,0,0,0,0.00,0,0
118,Meghoma,DEF,Brentford,BRE,3,4,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,499717,0,0,0,0,0,0,2,Jayden,FALSE,Has joined Rangers on loan for the rest of the season.,2025-08-19T13:37:28.261506Z,40,499717.jpg,0.0,FALSE,Meghoma,0.0,FALSE,NA,u,5,94,279,0,11084,0,0.0,0.0,,241,2024-08-30,2006-06-28,FALSE,p499717,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,610,226,601,225,570,221,613,226,0,0,0,0,0,0,715,182,482,187,620,225,620,220,0,0,0,0.00,0,0
120,Schade,MID,Brentford,BRE,3,6.8,125,8,5,1.5,2.8,3.3,7,2744,TRUE,FALSE,100,100,513418,0,0,-2,2,0,1,3,Kevin,FALSE,,2026-02-02T00:30:10.303430Z,68,513418.jpg,3.6,FALSE,Schade,1.3,FALSE,NA,a,5,94,969326,0,862088,0,0.5,18.4,,80,2023-07-01,2001-11-27,FALSE,p513418,11,34,0,0,1,6,1,0,5,385,536.8,380.1,821.0,172.8,54,94,42,190,32,12.08,2.05,14.13,40.05,NA,,NA,,3,,,,112,34,104,74,12,7,37,28,0.4,0,0.07,0.47,1.31,1.12,45,29,108,50,107,48,175,61,1.05,0.36,6.23,12.08,0.4,2
121,Damsgaard,MID,Brentford,BRE,3,5.6,113,4,4,4.3,1.8,2.3,1,2046,TRUE,FALSE,100,100,440089,0,0,-4,4,0,2,3,Mikkel,FALSE,,2026-03-20T14:00:08.942254Z,56,440089.jpg,3.4,FALSE,Damsgaard,0.8,FALSE,NA,a,5,94,214963,0,244417,0,0.4,20.2,,58,2022-08-10,2000-07-03,FALSE,p440089,5,32,0,0,0,0,0,0,9,467,530.6,691.3,326.0,155.0,45,139,57,241,24,2.61,5.43,8.04,31.55,NA,,3,,NA,,,,119,36,29,27,99,59,55,36,0.11,0,0.24,0.35,1.39,1.41,129,80,161,71,139,60,224,77,1.06,0.22,10.6,2.61,0.11,2
122,Milambo,MID,Brentford,BRE,3,5.2,1,0,0,0.0,0.0,0.0,0,45,TRUE,FALSE,0,0,543295,0,0,-3,3,0,0,3,Antoni,FALSE,Knee injury - Expected back 01 Jun,2025-10-16T08:00:09.362049Z,52,543295.jpg,1.0,FALSE,Milambo,0.0,FALSE,NA,i,5,94,2221,0,7078,0,0.0,0.2,,152,2025-07-03,2005-04-03,FALSE,p543295,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0,2,2,4,1,0.00,0.01,0.01,1.49,NA,,NA,,NA,,,https://www.brentfordfc.com/en/news/article/first-team-brentford-v-sunderland-premier-league-injury-update?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,500,226,482,232,816,363,511,232,0,0,0.02,0.02,2.98,6,217,134,783,341,517,239,656,258,2,0,8,0.00,0,0
123,Carvalho,MID,Brentford,BRE,3,4.6,13,1,0,0.0,0.0,0.0,0,100,TRUE,FALSE,0,0,244858,0,0,-4,4,0,0,3,Fábio,FALSE,Knee injury - Expected back 01 Jun,2025-11-28T19:00:08.330112Z,46,244858.jpg,2.2,FALSE,Freitas Gouveia Carvalho,0.1,FALSE,NA,i,5,94,27411,0,51815,0,0.0,2.8,Fábio Carvalho,173,2024-08-12,2002-08-30,FALSE,p244858,0,4,0,0,0,0,0,0,1,42,39.0,6.5,36.0,8.1,0,5,3,8,1,0.70,0.03,0.73,2.08,NA,,NA,,4,,,https://www.brentfordfc.com/en/news/article/first-team-brentford-v-fulham-premier-league-injury-update-aaron-hickey-jordan-henderson?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,441,193,455,218,368,188,445,200,0.63,0,0.03,0.66,1.87,3.6,401,248,706,289,318,132,474,166,0.9,0,7.2,0.70,0.63,0
124,Henderson,MID,Brentford,BRE,3,5,76,1,3,-0.3,-0.2,0.3,0,1911,TRUE,FALSE,100,100,56979,0,0,0,0,0,0,3,Jordan,FALSE,,2026-04-11T20:30:08.727460Z,50,56979.jpg,2.4,FALSE,Henderson,0.3,FALSE,NA,a,5,94,101717,0,109214,0,0.1,15.2,,241,2025-07-15,1990-06-17,FALSE,p56979,6,28,0,0,0,6,0,0,5,343,336.6,358.3,49.0,74.4,58,98,27,183,22,0.33,2.31,2.64,28.16,NA,,NA,,NA,,,,220,90,110,77,347,179,220,107,0.02,0,0.11,0.13,1.33,1.32,241,146,362,164,296,123,329,112,1.04,0.28,8.62,0.33,0.02,2
125,Janelt,MID,Brentford,BRE,3,4.9,74,1,4,0.3,0.8,1.3,1,1434,TRUE,FALSE,100,100,204580,0,0,-1,1,0,1,3,Vitaly,FALSE,,2026-02-28T22:00:07.860819Z,49,204580.jpg,3.0,FALSE,Janelt,0.1,FALSE,NA,a,5,94,67811,0,59682,0,0.3,15.1,,80,2020-10-03,1998-05-10,FALSE,p204580,5,21,0,0,0,8,0,0,6,334,350.4,351.8,97.0,79.0,71,85,27,183,15,0.82,2.27,3.09,26.62,2,,NA,,NA,,,,209,82,114,80,290,154,208,98,0.05,0,0.14,0.19,1.67,1.32,298,185,233,104,196,75,494,176,0.94,0.31,11.49,0.82,0.05,2
126,Jensen,MID,Brentford,BRE,3,4.9,98,3,2,4.3,2.2,2.7,2,2239,TRUE,FALSE,NA,NA,207283,0,0,-1,1,0,0,3,Mathias,FALSE,,NA,49,207283.jpg,2.7,FALSE,Jensen,0.1,FALSE,NA,a,5,94,33274,0,27550,0,0.6,20.0,,58,2019-07-10,1996-01-01,FALSE,p207283,9,33,0,0,0,3,0,0,1,465,435.6,632.7,201.0,126.9,62,118,40,220,26,2.21,6.06,8.27,35.72,1,,2,,5,,,,162,59,33,30,185,99,88,54,0.09,0,0.24,0.33,1.44,1.33,301,187,138,59,242,95,423,145,1.05,0.36,8.84,2.21,0.09,2
127,Nunes,MID,Brentford,BRE,3,4.9,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,626464,0,0,-1,1,0,0,3,Gustavo,FALSE,has joined Swansea City on loan for the rest of the season.,2026-01-23T16:43:23.380280Z,49,626464.jpg,0.0,FALSE,Nunes Fernandes Gomes,0.0,FALSE,NA,u,5,94,1544,0,2374,0,0.0,0.0,,30,2024-08-28,2005-11-20,FALSE,p626464,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,802,351,798,351,795,350,802,351,0,0,0,0,0,0,339,211,752,318,802,351,733,306,0,0,0,0.00,0,0
128,Onyeka,MID,Brentford,BRE,3,4.8,12,0,2,0.0,0.0,0.0,0,88,TRUE,FALSE,0,0,428580,0,0,-2,2,0,0,3,Frank,FALSE,has joined Coventry City on loan for the rest of the season.,2026-02-02T23:18:34.199775Z,48,428580.jpg,2.0,FALSE,Onyeka,0.0,FALSE,NA,u,5,94,5396,0,9001,0,0.0,2.5,,157,2021-07-20,1998-01-01,FALSE,p428580,0,2,0,0,0,0,0,0,0,41,28.4,13.6,4.0,4.6,3,5,2,10,0,0.00,0.36,0.36,2.02,NA,,NA,,NA,,,,454,202,427,209,448,219,468,208,0,0,0.37,0.37,2.07,2.05,360,223,723,298,351,150,615,234,0,0,10.23,0.00,0,0
129,Yarmoliuk,MID,Brentford,BRE,3,5,104,1,3,3.7,2.8,3.3,0,2652,TRUE,FALSE,100,100,508395,0,0,0,0,0,0,3,Yehor,FALSE,,2025-10-25T23:00:07.803030Z,50,508395.jpg,2.8,FALSE,Yarmoliuk,0.1,FALSE,NA,a,5,94,27701,0,24796,0,0.7,20.8,,225,2022-10-28,2004-03-01,FALSE,p508395,8,42,0,0,0,7,0,0,1,448,445.0,273.0,117.0,83.4,83,186,69,338,30,1.22,1.39,2.61,40.31,NA,,NA,,NA,,,,154,54,158,104,268,145,195,93,0.04,0,0.05,0.09,1.37,1.43,272,166,104,48,225,87,476,167,1.02,0.27,11.47,1.22,0.04,2
130,Donovan,MID,Brentford,BRE,3,4.4,4,0,0,-0.5,-0.5,0.0,0,38,TRUE,FALSE,NA,NA,606689,0,0,-1,1,0,0,3,Romelle,FALSE,,NA,44,606689.jpg,1.0,FALSE,Donovan,0.1,FALSE,NA,a,5,94,17789,0,20856,0,0.0,0.9,,241,2025-07-01,2006-11-30,FALSE,p606689,0,0,0,0,0,0,0,0,0,19,8.4,11.5,21.0,4.2,0,5,0,5,0,0.09,0.01,0.10,0.39,NA,,NA,,NA,,,,484,216,433,213,401,200,470,209,0.21,0,0.02,0.23,0.92,0,580,350,606,212,489,217,480,170,0,0,11.84,0.09,0.21,0
131,Konak,MID,Brentford,BRE,3,4.3,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,628204,0,0,-2,2,0,0,3,Yunus Emre,FALSE,has joined Oxford United on loan for the rest of the season.,2026-01-16T15:17:51.447836Z,43,628204.jpg,0.0,FALSE,Konak,0.1,FALSE,NA,u,5,94,38108,0,46431,0,0.0,0.0,,219,2024-01-11,2006-01-10,FALSE,p628204,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,671,253,667,257,644,247,673,255,0,0,0,0,0,0,630,376,571,195,681,262,446,154,0,0,0,0.00,0,0
132,Maghoma,MID,Brentford,BRE,3,4.5,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,220695,0,0,0,0,0,0,3,Paris,FALSE,has joined Norwich City permanently.,2026-01-27T16:47:33.569182Z,45,220695.jpg,0.0,FALSE,Maghoma,0.0,FALSE,NA,u,5,94,4038,0,5660,0,0.0,0.0,,241,2020-08-01,2001-05-08,FALSE,p220695,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,705,272,700,274,681,267,707,274,0,0,0,0,0,0,423,253,617,217,711,277,693,278,0,0,0,0.00,0,0
133,Peart-Harris,MID,Brentford,BRE,3,4.4,1,0,0,0.0,0.0,0.0,0,1,TRUE,FALSE,0,0,450539,0,0,-1,1,0,0,3,Myles,FALSE,has joined Oxford United permanently.,2026-01-15T12:49:06.966037Z,44,450539.jpg,1.0,FALSE,Peart-Harris,0.0,FALSE,NA,u,5,94,3881,0,6546,0,0.0,0.2,,241,2021-07-23,2002-09-18,FALSE,p450539,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,679,256,675,259,654,250,681,258,0,0,0,0,0,0,553,332,585,198,484,212,647,251,0,0,0,0.00,0,0
134,Trevitt,MID,Brentford,BRE,3,4.5,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,591357,0,0,0,0,0,0,3,Ryan,FALSE,Has joined Wigan on loan for the rest of the season,2025-08-11T01:07:54.335986Z,45,591357.jpg,0.0,FALSE,Trevitt,0.0,FALSE,NA,u,5,94,0,0,955,0,0.0,0.0,,241,2024-01-08,2003-03-12,FALSE,p591357,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,757,318,750,317,737,314,757,318,0,0,0,0,0,0,494,305,675,266,759,319,802,351,0,0,0,0.00,0,0
136,Thiago,FWD,Brentford,BRE,3,7.2,181,22,1,2.3,1.5,2.0,2,3282,TRUE,FALSE,100,100,502500,0,0,12,-12,0,6,4,Igor Thiago,TRUE,,2025-12-18T01:30:08.634916Z,72,502500.jpg,4.8,FALSE,Nascimento Rodrigues,30.2,FALSE,NA,a,5,94,10092741,0,6495947,0,0.3,25.1,Igor Thiago,30,2024-07-01,2001-06-26,FALSE,p502500,10,50,0,0,1,7,0,0,22,710,1019.4,382.5,1170.0,256.9,84,93,37,214,37,20.60,1.83,22.43,53.17,NA,,NA,,2,,,,5,2,103,5,3,3,6,2,0.56,0,0.05,0.61,1.46,1.37,32,12,187,19,17,4,9,3,1.01,0.27,5.87,20.60,0.56,2
137,Morgan,FWD,Brentford,BRE,3,4.4,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,533710,0,0,-1,1,0,0,4,Iwan,FALSE,has joined Shrewsbury on loan for the rest of the season.,2026-01-02T18:38:50.184481Z,44,533710.jpg,0.0,FALSE,Morgan,0.3,FALSE,NA,u,5,94,52422,0,82860,0,0.0,0.0,,NA,NA,NA,FALSE,p533710,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,687,72,682,71,663,70,689,72,0,0,0,0,0,0,566,80,594,60,694,73,336,54,0,0,0,0.00,0,0
748,Dasilva,MID,Brentford,BRE,3,4.9,2,0,0,0.0,-0.2,0.3,0,2,TRUE,FALSE,100,100,183656,0,0,-1,1,0,0,3,Josh,FALSE,,2025-11-20T12:00:10.592439Z,49,183656.jpg,1.0,FALSE,Dasilva,0.0,FALSE,NA,a,5,94,285,0,278,0,0.1,0.4,,241,2025-10-23,1998-10-23,FALSE,p183656,0,0,0,0,0,0,0,0,0,5,0.4,11.3,4.0,1.6,0,1,0,1,0,0.08,0.00,0.08,0.05,NA,,NA,,NA,,,,524,238,434,214,449,220,496,225,3.6,0,0,3.6,2.25,0,294,182,360,163,507,231,815,360,0,0,45,0.08,3.6,0
797,Furo,FWD,Brentford,BRE,3,4.5,1,0,0,-0.3,-0.5,0.0,0,1,TRUE,FALSE,100,100,593174,0,0,0,0,0,0,4,Kaye,FALSE,,2026-04-17T15:00:07.930549Z,45,593174.jpg,1.0,FALSE,Furo,0.0,FALSE,NA,a,5,94,2695,0,1874,0,0.0,0.2,,21,2026-01-11,2007-02-06,FALSE,p593174,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.02,NA,,NA,,NA,,,,759,81,752,80,739,80,759,81,0,0,0,0,1.8,0,496,70,677,69,499,60,695,88,0,0,0,0.00,0,0
810,Bentt,MID,Brentford,BRE,3,4.5,0,0,0,-0.5,-0.5,0.0,0,0,TRUE,FALSE,NA,NA,559610,0,0,0,0,0,0,3,Luka,FALSE,,NA,45,559610.jpg,0.0,FALSE,Bentt,0.0,FALSE,NA,a,5,94,569,0,313,0,0.0,0.0,,21,2026-01-31,2007-10-01,FALSE,p559610,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,737,301,731,301,715,296,738,302,0,0,0,0,0,0,469,285,653,247,740,303,800,349,0,0,0,0.00,0,0
819,Shield,DEF,Brentford,BRE,3,4,0,0,0,-0.5,-0.5,0.0,0,0,TRUE,FALSE,NA,NA,494556,0,0,0,0,0,0,2,Ollie,FALSE,,NA,40,494556.jpg,0.0,FALSE,Shield,0.0,FALSE,NA,a,5,94,546,0,291,0,0.0,0.0,,241,2026-02-15,2006-09-25,FALSE,p494556,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,607,224,598,223,567,219,610,224,0,0,0,0,0,0,710,179,477,184,618,224,751,257,0,0,0,0.00,0,0
823,Stephenson,DEF,Brentford,BRE,3,4,0,0,0,-0.5,-0.5,0.0,0,0,TRUE,FALSE,NA,NA,649240,0,0,0,0,0,0,2,Joshua,FALSE,,NA,40,649240.jpg,0.0,FALSE,Stephenson,0.0,FALSE,NA,a,5,94,180,0,99,0,0.0,0.0,,241,2025-08-01,2007-09-04,FALSE,p649240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,643,251,635,250,606,248,646,251,0,0,0,0,0,0,756,214,520,216,653,250,787,263,0,0,0,0.00,0,0
824,McManus,DEF,Brentford,BRE,3,4,0,0,0,-0.5,-0.5,0.0,0,0,TRUE,FALSE,NA,NA,587433,0,0,0,0,0,0,2,Conor,FALSE,,NA,40,587433.jpg,0.0,FALSE,McManus,0.0,FALSE,NA,a,5,94,252,0,126,0,0.0,0.0,,104,2024-07-19,2004-06-16,FALSE,p587433,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,628,238,620,237,590,234,631,238,0,0,0,0,0,0,737,197,502,200,638,237,785,262,0,0,0,0.00,0,0
826,Owen,MID,Brentford,BRE,3,4.5,0,0,0,-0.5,-0.5,0.0,0,0,TRUE,FALSE,NA,NA,547671,0,0,0,0,0,0,3,Riley,FALSE,,NA,45,547671.jpg,0.0,FALSE,Owen,0.0,FALSE,NA,a,5,94,249,0,96,0,0.0,0.0,,241,2024-07-19,2005-08-24,FALSE,p547671,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,731,296,726,297,709,291,732,297,0,0,0,0,0,0,462,280,646,242,736,300,820,363,0,0,0,0.00,0,0
138,Steele,GKP,Brighton,BHA,4,4.2,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,NA,NA,49262,0,0,-3,3,0,0,1,Jason,FALSE,,NA,42,49262.jpg,0.0,FALSE,Steele,0.2,FALSE,NA,a,6,36,12848,0,42173,0,0.0,0.0,,241,2018-07-01,1990-08-18,FALSE,p49262,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,648,91,641,82,612,67,651,91,0,0,0,0,0,0,633,28,527,84,658,91,362,50,0,0,0,0.00,0,0
139,Verbruggen,GKP,Brighton,BHA,4,4.6,130,0,0,3.3,3.3,3.3,2,3420,TRUE,FALSE,NA,NA,489639,0,0,1,-1,0,3,1,Bart,FALSE,,NA,46,489639.jpg,3.4,FALSE,Verbruggen,9.3,FALSE,NA,a,6,36,1475089,0,1130937,0,0.7,28.3,,152,2023-07-03,2002-08-18,FALSE,p489639,10,46,1,1,0,3,0,106,6,616,935.0,10.0,0.0,94.7,32,332,1,0,38,0.00,0.06,0.06,49.06,NA,,NA,,NA,,,,9,2,444,14,768,83,164,2,0,2.79,0,0,1.29,1.21,404,21,102,10,126,16,39,6,1,0.26,0,0.00,0,0
140,McGill,GKP,Brighton,BHA,4,3.9,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,NA,NA,209288,0,0,-1,1,0,0,1,Tom,FALSE,,NA,39,209288.jpg,0.0,FALSE,McGill,0.3,FALSE,NA,a,6,36,19179,0,30974,0,0.0,0.0,,39,2021-02-02,2000-03-25,FALSE,p209288,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,556,52,541,35,510,20,559,52,0,0,0,0,0,0,771,79,418,41,567,52,330,45,0,0,0,0.00,0,0
141,Rushworth,GKP,Brighton,BHA,4,4,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,472739,0,0,0,0,0,0,1,Carl,FALSE,Has joined Coventry City on loan for the rest of the season.,2025-07-25T14:54:18.206318Z,40,472739.jpg,0.0,FALSE,Rushworth,0.0,FALSE,NA,u,6,36,0,0,251,0,0.0,0.0,,241,2023-07-01,2001-07-02,FALSE,p472739,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,600,77,591,66,560,51,603,77,0,0,0,0,0,0,703,55,470,69,611,77,818,95,0,0,0,0.00,0,0
142,Scherpen,GKP,Brighton,BHA,4,4,0,0,0,0.0,0.0,0.0,0,0,TRUE,FALSE,0,0,240514,0,0,0,0,0,0,1,Kjell,FALSE,Has joined Union SG permanently,2025-07-25T14:53:26.961790Z,40,240514.jpg,0.0,FALSE,Scherpen,0.0,FALSE,NA,u,6,36,0,0,209,0,0.0,0.0,,152,2021-07-16,2000-01-23,FALSE,p240514,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,NA,,NA,,NA,,,,590,70,581,59,550,44,593,70,0,0,0,0,0,0,691,48,459,62,601,70,821,96,0,0,0,0.00,0,0
143,Boscagli,DEF,Brighton,BHA,4,4.2,39,0,1,0.3,0.0,0.0,0,799,TRUE,FALSE,NA,NA,204120,0,0,-3,3,0,0,2,Olivier,FALSE,,NA,42,204120.jpg,3.2,FALSE,Boscagli,0.1,FALSE,NA,a,6,36,23481,0,22691,0,0.0,9.3,,73,2025-07-02,1997-11-18,FALSE,p204120,3,10,0,0,0,2,0,0,4,171,215.6,82.2,12.0,31.1,62,54,16,78,9,0.05,0.47,0.52,10.87,3,,NA,,NA,,,,299,119,322,106,421,157,366,126,0.01,0,0.05,0.06,1.22,1.13,640,142,529,221,159,57,433,162,1.01,0.34,8.79,0.05,0.01,2
